matchup,classification,total_score,confidence,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Texans @ Chiefs,🔵 BLUE CHIP,16.3,16.3,12.0,-22.0,61.8,45.5,0,0,NO EDGE,0,No significant injury edge detected between Texans and Chiefs.,1,Public overexposed on Chiefs,2,Statistical value on home team (+9.5 points),5,"Market inefficiency detected (+12.0% sharp edge), STEAM MOVE: Sharps heavily against public",2,HOME rest advantage (+3 days)
Cowboys @ Lions,🎯 TARGETED PLAY,13.1,13.1,9.0,14.0,44.2,46.2,0,0,NO EDGE,0,No significant injury edge detected between Cowboys and Lions.,1,Public overexposed on Cowboys,2,Statistical value on away team (10.0 points),7,"Market mispricing possible (+9.0% edge), Extreme public sentiment (80% on one side), STEAM MOVE: Sharps heavily against public, High contrarian value (fade the public), Popular team getting overbet",0,Neutral schedule situation (standard rest)
Seahawks @ Falcons,🎯 TARGETED PLAY,12.6,12.6,10.0,-5.0,54.5,46.9,0,0,NO EDGE,0,No significant injury edge detected between Seahawks and Falcons.,0,No significant situational factors,2,Statistical value on home team (+10.5 points),6,"Market inefficiency detected (+10.0% sharp edge), STEAM MOVE: Sharps heavily against public, High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Rams @ Cardinals,🎯 TARGETED PLAY,7.199999999999999,7.199999999999999,8.0,-7.0,61.5,38.5,0,0,NO EDGE,0,No significant injury edge detected between Rams and Cardinals.,1,Divisional matchup (familiarity factor),0,No stat edge,4,"Market mispricing possible (+8.0% edge), Potential steam move developing, High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Bears @ Packers,📊 LEAN,10.8,10.8,2.0,-8.0,58.8,52.9,0,0,NO EDGE,0,No significant injury edge detected between Bears and Packers.,2,"Divisional matchup (familiarity factor), Public overexposed on Packers",2,Statistical value on away team (3.5 points),3,"Extreme public sentiment (83% on one side), High contrarian value (fade the public), Popular team getting overbet",1,Minor rest edge (1 days)
Steelers @ Ravens,📊 LEAN,6.6,6.6,-13.0,-18.0,50.0,62.5,0,0,NO EDGE,0,No significant injury edge detected between Steelers and Ravens.,1,Divisional matchup (familiarity factor),2,Statistical value on home team (+7.0 points),2,Market inefficiency detected (-13.0% sharp edge),2,HOME rest advantage (+3 days)
Broncos @ Raiders,📊 LEAN,6.5,6.5,-8.0,-5.0,58.8,50.0,0,0,NO EDGE,0,No significant injury edge detected between Broncos and Raiders.,1,Divisional matchup (familiarity factor),2,Statistical value on home team (+20.5 points),2,"Market mispricing possible (-8.0% edge), High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Dolphins @ Jets,📊 LEAN,5.6,5.6,-4.0,-7.0,53.8,50.0,0,0,NO EDGE,0,No significant injury edge detected between Dolphins and Jets.,1,Divisional matchup (familiarity factor),2,Statistical value on home team (+5.5 points),1,High contrarian value (fade the public),0,Neutral schedule situation (standard rest)
Saints @ Buccaneers,📊 LEAN,4.6,4.6,-4.0,-18.0,44.1,47.1,0,0,NO EDGE,0,No significant injury edge detected between Saints and Buccaneers.,1,Divisional matchup (familiarity factor),2,Statistical value on away team (5.5 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Colts @ Jaguars,📊 LEAN,3.2,3.2,1.0,-19.0,18.2,54.5,0,0,NO EDGE,0,No significant injury edge detected between Colts and Jaguars.,1,Divisional matchup (familiarity factor),2,Statistical value on home team (+4.5 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Eagles @ Chargers,⚠️ LANDMINE,2.8,2.8,-1.0,3.0,44.4,46.7,0,0,NO EDGE,0,No significant injury edge detected between Eagles and Chargers.,0,No significant situational factors,2,Statistical value on away team (4.0 points),0,Standard market dynamics,-1,Minor rest edge (2 days)
Bengals @ Bills,⚠️ LANDMINE,2.0,2.0,3.0,1.0,53.6,59.6,0,0,NO EDGE,0,No significant injury edge detected between Bengals and Bills.,0,No significant situational factors,2,Statistical value on home team (+7.5 points),0,Standard market dynamics,-2,AWAY rest advantage (+3 days)
Commanders @ Vikings,⚠️ LANDMINE,0.2999999999999998,0.2999999999999998,-22.0,-4.0,52.2,47.9,0,0,NO EDGE,0,No significant injury edge detected between Commanders and Vikings.,0,No significant situational factors,1,Modest statistical edge (1.5 points),3,"Market inefficiency detected (-22.0% sharp edge), High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Titans @ Browns,⚠️ LANDMINE,0.0,0.0,-1.0,-3.0,49.1,46.2,0,0,NO EDGE,0,No significant injury edge detected between Titans and Browns.,0,No significant situational factors,0,No stat edge,0,Standard market dynamics,0,Neutral schedule situation (standard rest)
