game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
THU8:15 PM ET,NYJ,NE,NYJ @ NE,J. Fields,Drake Maye,None,"7% Precipitation
38°  6 mph WNW Wind",NE -13,43.0,2025-11-13 03:49:11
SUN9:30 AM ET,WAS,MIA,WAS @ MIA,M. Mariota,T. Tagovailoa,Julian Hill (TE)-Q,"48% Rain
57°  9 mph SW Wind",MIA-2.5,47.5,2025-11-13 03:49:12
SUN1:00 PM ET,CAR,ATL,CAR @ ATL,Bryce Young,M. Penix,"Rico Dowdle (RB)-Q, Drake London (WR)-Q","Dome
In Domed Stadium",ATL-3.5,42.5,2025-11-13 03:49:12
SUN1:00 PM ET,TB,BUF,TB @ BUF,B. Mayfield,Josh Allen,"Bucky Irving (RB)-D, Chris Godwin (WR)-D, K. Shakir (WR)-Q, D. Kincaid (TE)-Q","82% Rain
41°  13 mph W Wind",BUF-5.5,48.5,2025-11-13 03:49:13
SUN1:00 PM ET,LAC,JAX,LAC @ JAX,J. Herbert,T. Lawrence,"L. McConkey (WR)-Q, Q. Johnston (WR)-Q, Brian Thomas (WR)-Q, P. Washington (WR)-Q, Hunter Long (TE)-Q","0%
76°  12 mph WSW Wind",LAC-3,43.5,2025-11-13 03:49:13
SUN1:00 PM ET,CHI,MIN,CHI @ MIN,C. Williams,J. McCarthy,"D. Swift (RB)-Q, Rome Odunze (WR)-Q, DJ Moore (WR)-Q, Cole Kmet (TE)-Q, J. McCarthy (QB)-Q, Aaron Jones (RB)-Q","Dome
In Domed Stadium",MIN-3,48.5,2025-11-13 03:49:14
SUN1:00 PM ET,GB,NYG,GB @ NYG,Jordan Love,Jaxson Dart,"M. Golden (WR)-Q, Jaxson Dart (QB)-Q, D. Slayton (WR)-Q","75% Rain
56°  15 mph WNW Wind",GB -7,43.5,2025-11-13 03:49:14
SUN1:00 PM ET,CIN,PIT,CIN @ PIT,Joe Flacco,A. Rodgers,Joe Flacco (QB)-Q,"74% Rain
49°  19 mph WNW Wind",PIT-5.5,48.5,2025-11-13 03:49:14
SUN1:00 PM ET,HOU,TEN,HOU @ TEN,C.J. Stroud,Cam Ward,"C.J. Stroud (QB)-Q, D. Schultz (TE)-Q, K. Fairbairn (K)-Q, C. Ridley (WR)-Q, Chig Okonkwo (TE)-Q","8% Precipitation
65°  10 mph NNW Wind",HOU-6.5,37.5,2025-11-13 03:49:15
SUN4:05 PM ET,SF,ARI,SF @ ARI,Brock Purdy,J. Brissett,"Brock Purdy (QB)-Q, R. Pearsall (WR)-Q, Bam Knight (RB)-Q, X. Weaver (WR)-Q","Dome
In Domed Stadium",SF -2.5,48.5,2025-11-13 03:49:15
SUN4:05 PM ET,SEA,LAR,SEA @ LAR,Sam Darnold,M. Stafford,"D. Adams (WR)-Q, J. Whittington (WR)-Q","Dome
In Domed Stadium",LAR-3,48.5,2025-11-13 03:49:16
SUN4:25 PM ET,BAL,CLE,BAL @ CLE,L. Jackson,D. Gabriel,"L. Jackson (QB)-Q, R. Bateman (WR)-Q, C. Tillman (WR)-Q, Isaiah Bond (WR)-Q","27% Precipitation
45°  19 mph W Wind",BAL-7.5,39.0,2025-11-13 03:49:16
SUN4:25 PM ET,KC,DEN,KC @ DEN,P. Mahomes,Bo Nix,"I. Pacheco (RB)-Q, J.K. Dobbins (RB)-Q, Marvin Mims (WR)-Q","7% Precipitation
66°  6 mph NE Wind",KC -4,44.0,2025-11-13 03:49:16
SUN8:20 PM ET,DET,PHI,DET @ PHI,Jared Goff,Jalen Hurts,Sam LaPorta (TE)-Q,"15% Precipitation
48°  10 mph WNW Wind",PHI-2.5,46.5,2025-11-13 03:49:17
MON8:15 PM ET,DAL,LV,DAL @ LV,Dak Prescott,Geno Smith,Geno Smith (QB)-Q,"Dome
In Domed Stadium",DAL-3.5,50.0,2025-11-13 03:49:17
