key,season,season_type,week,matchup_key,away_tla,home_tla,stage,raw_action,quality_action,quality_gate,confidence,market,side,selector_score,label,recommendation,source_health_status,data_quality_status,result,margin_to_line
DEN@ATL:initial,2026,PRE,PRE1,DEN@ATL,DEN,ATL,initial,play,play,warn,standard,spread,AWAY,3.0,📊 LEAN,👀 LEAN: Denver Broncos -4.5 (proceed with caution),DEGRADED,DEGRADED,,
GB@PIT:initial,2026,PRE,PRE1,GB@PIT,GB,PIT,initial,play,play,warn,standard,spread,HOME,3.0,📊 LEAN,👀 LEAN: Pittsburgh Steelers +1.5 (proceed with caution),DEGRADED,DEGRADED,,
NYJ@PIT:initial,2026,PRE,PRE2,NYJ@PIT,NYJ,PIT,initial,play,play,warn,standard,spread,HOME,3.0,📊 LEAN,👀 LEAN: Pittsburgh Steelers -3.5 (proceed with caution),DEGRADED,DEGRADED,,
ARI@LV:initial,2026,PRE,PRE1,ARI@LV,ARI,LV,initial,pass,pass,warn,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
CAR@BUF:initial,2026,PRE,PRE1,CAR@BUF,CAR,BUF,initial,pass,pass,warn,none,,,,❌ FADE,❌ AVOID: Multiple negative factors align,DEGRADED,DEGRADED,,
CLE@CHI:initial,2026,PRE,PRE1,CLE@CHI,CLE,CHI,initial,pass,pass,warn,none,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
DAL@SEA:initial,2026,PRE,PRE1,DAL@SEA,DAL,SEA,initial,pass,pass,warn,none,,,,❌ FADE,❌ AVOID: Multiple negative factors align,DEGRADED,DEGRADED,,
DET@CIN:initial,2026,PRE,PRE1,DET@CIN,DET,CIN,initial,pass,pass,warn,none,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
IND@NE:initial,2026,PRE,PRE1,IND@NE,IND,NE,initial,pass,pass,warn,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
JAX@NO:initial,2026,PRE,PRE1,JAX@NO,JAX,NO,initial,pass,pass,warn,none,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
LAC@HOU:initial,2026,PRE,PRE1,LAC@HOU,LAC,HOU,initial,pass,pass,warn,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
LAR@KC:initial,2026,PRE,PRE1,LAR@KC,LAR,KC,initial,pass,pass,warn,none,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
MIA@WAS:initial,2026,PRE,PRE1,MIA@WAS,MIA,WAS,initial,pass,pass,warn,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
MIN@NYG:initial,2026,PRE,PRE1,MIN@NYG,MIN,NYG,initial,pass,pass,warn,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
PHI@BAL:initial,2026,PRE,PRE1,PHI@BAL,PHI,BAL,initial,pass,pass,warn,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
TB@NYJ:initial,2026,PRE,PRE1,TB@NYJ,TB,NYJ,initial,pass,pass,warn,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
TEN@SF:initial,2026,PRE,PRE1,TEN@SF,TEN,SF,initial,pass,pass,warn,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
ATL@IND:initial,2026,PRE,PRE2,ATL@IND,ATL,IND,initial,pass,pass,warn,none,,,nan,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
BAL@MIN:initial,2026,PRE,PRE2,BAL@MIN,BAL,MIN,initial,lean,watch,warn,watch,,,nan,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
BUF@CLE:initial,2026,PRE,PRE2,BUF@CLE,BUF,CLE,initial,lean,watch,warn,watch,,,nan,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
CAR@JAX:initial,2026,PRE,PRE2,CAR@JAX,CAR,JAX,initial,pass,pass,warn,none,,,nan,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
CHI@CIN:initial,2026,PRE,PRE2,CHI@CIN,CHI,CIN,initial,pass,pass,warn,none,,,nan,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
DAL@ARI:initial,2026,PRE,PRE2,DAL@ARI,DAL,ARI,initial,lean,watch,warn,watch,,,nan,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
GB@DEN:initial,2026,PRE,PRE2,GB@DEN,GB,DEN,initial,pass,pass,warn,none,,,nan,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
