season,week,away_tla,home_tla,matchup_key,spread_line,total_line,away_score,home_score,total_points,ats_result,ou_result,model_action,pick_label,selector_score,referee,ats_pct,ou_pct,ref_sample,notes
2026,PRE1,GB,PIT,GB@PIT,-2.5,40.5,9,28,37,home_cover,under,watch,PIT +1.5,3.0,Brad Rogers/Bryan Neale,44.7,61.5,39,PIT won 28-9. Model leaned PIT +1.5. PIT covered outright.
2026,PRE1,DET,CIN,DET@CIN,-7.0,37.5,14,16,30,away_cover,under,not_evaluated,,,,,,CIN -7 but won by 2. DET covers +7.
2026,PRE1,IND,NE,IND@NE,-3.0,37.5,13,13,26,away_cover,under,not_evaluated,,,,,,Tie. NE covers +3.
2026,PRE1,HOU,LAC,HOU@LAC,-1.5,36.5,7,27,34,home_cover,under,not_evaluated,,,,,,LAC -1.5 covers. LAC won 27-7.
2026,PRE1,LV,ARI,LV@ARI,-2.5,42.5,14,27,41,away_cover,under,not_evaluated,,,,,,LV -2.5 but ARI wins 27-14. ARI covers +2.5.
2026,PRE1,SF,TEN,SF@TEN,-6.0,39.5,13,19,32,push,under,not_evaluated,,,,,,TEN -6 wins by 6 exactly. Push ATS.
2026,PRE1,DEN,ATL,DEN@ATL,-3.5,39.5,27,7,34,away_cover,under,watch,DEN -4.5,3.0,Alan Eck/David Oliver,65.4,34.6,26,DEN won 27-7. Model leaned DEN -4.5. DEN covered by 20.
2026,PRE1,NYJ,TB,NYJ@TB,-5.5,35.5,16,24,40,away_cover,over,not_evaluated,,,,,,NYJ -5.5 but TB wins 24-16. TB covers +5.5.
2026,PRE1,WAS,MIA,WAS@MIA,-3.5,35.5,20,7,27,away_cover,under,not_evaluated,,,,,,MIA -3.5 but WAS wins 20-7. WAS covers +3.5.
2026,PRE1,CLE,CHI,CLE@CHI,-3.0,40.5,10,34,44,away_cover,over,not_evaluated,,,,,,CLE -3 but CHI wins 34-10. CHI covers +3.
2026,PRE1,NYG,MIN,NYG@MIN,-2.5,42.5,10,13,23,home_cover,under,not_evaluated,,,,,,MIN -2.5 covers 13-10.
2026,PRE1,CAR,BUF,CAR@BUF,-2.5,38.5,14,29,43,home_cover,over,not_evaluated,,,,,,BUF -2.5 covers 29-14.
2026,PRE1,KC,LAR,KC@LAR,-2.5,35.5,12,20,32,away_cover,under,not_evaluated,,,,,,KC -2.5 but LAR wins 20-12. LAR covers +2.5.
2026,PRE1,NO,JAX,NO@JAX,-2.5,35.5,20,24,44,away_cover,over,not_evaluated,,,,,,NO -2.5 but JAX wins 24-20. JAX covers +2.5.
2026,PRE1,PHI,BAL,PHI@BAL,-3.5,36.5,7,24,31,away_cover,under,not_evaluated,,,,,,PHI -3.5 but BAL wins 24-7. BAL covers +3.5.
2026,PRE1,DAL,SEA,DAL@SEA,-3.0,37.5,17,7,24,away_cover,under,not_evaluated,,,,,,SEA -3 but DAL wins 17-7. DAL covers +3.
