dimension,value,games,decisions,straight_up_wins,engine_side_games,engine_side_aligned,graded_bets,bet_wins,bet_losses,bet_pushes,straight_up_hit_rate,engine_side_alignment_rate,bet_win_rate
best_edge_market,NONE,16,0,0,0,0,0,0,0,0,,,
best_edge_side,NONE,16,0,0,0,0,0,0,0,0,,,
data_quality_status,NONE,16,0,0,0,0,0,0,0,0,,,
division_game,true,16,0,0,0,0,0,0,0,0,,,
expectation_sample_warning,true,16,0,0,0,0,0,0,0,0,,,
market_expectation_pick_alignment,no_pick,16,0,0,0,0,0,0,0,0,,,
market_expectation_side,AWAY,6,6,1,0,0,0,0,0,0,0.1667,,
market_expectation_side,HOME,8,8,6,0,0,0,0,0,0,0.75,,
market_expectation_side,NEUTRAL,2,0,0,0,0,0,0,0,0,,,
overperformance_pick_alignment,no_pick,16,0,0,0,0,0,0,0,0,,,
overperformance_side,NONE,16,0,0,0,0,0,0,0,0,,,
pythagorean_pick_alignment,no_pick,16,0,0,0,0,0,0,0,0,,,
pythagorean_side,NONE,16,0,0,0,0,0,0,0,0,,,
spread_status,blocked,16,0,0,0,0,0,0,0,0,,,
total_status,blocked,16,0,0,0,0,0,0,0,0,,,
value_gap_pick_alignment,no_pick,16,0,0,0,0,0,0,0,0,,,
value_gap_side,NONE,16,0,0,0,0,0,0,0,0,,,
