matchup,referee,away,home,spread,favorite,game_type,query
Patriots at Seahawks,Adrian Hill,NE,SEA,0,HF,NDIV,'Adrian Hill' in officials and HF and NDIV and REG and season>=2018
49ers at Rams,Alex Kemp,SF,LAR,0,HF,DIV,'Alex Kemp' in officials and HF and DIV and REG and season>=2018
Bears at Panthers,Brad Allen,CHI,CAR,0,HF,C,'Brad Allen' in officials and HF and C and REG and season>=2018
Buccaneers at Bengals,John Hussey,TB,CIN,0,HF,NDIV,'John Hussey' in officials and HF and NDIV and REG and season>=2018
Saints at Lions,Alan Eck,NO,DET,0,HF,C,'Alan Eck' in officials and HF and C and REG and season>=2018
Bills at Texans,Alex Moore,BUF,HOU,0,HF,C,'Alex Moore' in officials and HF and C and REG and season>=2018
Ravens at Colts,Scott Novak,BAL,IND,0,HF,C,'Scott Novak' in officials and HF and C and REG and season>=2018
Browns at Jaguars,Craig Wrolstad,CLE,JAX,0,HF,C,'Craig Wrolstad' in officials and HF and C and REG and season>=2018
Falcons at Steelers,Brad Rogers,ATL,PIT,0,HF,NDIV,'Brad Rogers' in officials and HF and NDIV and REG and season>=2018
Jets at Titans,Land Clark,NYJ,TEN,0,HF,C,'Land Clark' in officials and HF and C and REG and season>=2018
Cardinals at Chargers,Ron Torbert,ARI,LAC,0,HF,NDIV,'Ron Torbert' in officials and HF and NDIV and REG and season>=2018
Dolphins at Raiders,Clete Blakeman,MIA,LV,0,HF,C,'Clete Blakeman' in officials and HF and C and REG and season>=2018
Packers at Vikings,Shawn Hochuli,GB,MIN,0,HF,DIV,'Shawn Hochuli' in officials and HF and DIV and REG and season>=2018
Commanders at Eagles,Shawn Smith,WAS,PHI,0,HF,DIV,'Shawn Smith' in officials and HF and DIV and REG and season>=2018
Cowboys at Giants,Carl Cheffers,DAL,NYG,0,HF,DIV,'Carl Cheffers' in officials and HF and DIV and REG and season>=2018
Broncos at Chiefs,Clay Martin,DEN,KC,0,HF,DIV,'Clay Martin' in officials and HF and DIV and REG and season>=2018
