matchup,season_type,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,recommendation,pick_market,pick_side,selector_score,source_blocked_market,source_blocked_side,source_blocked_score,source_blocked_recommendation,spread_candidate_score,total_candidate_score,pass_reason,selector_reasons,trace_final_market,trace_final_side,trace_final_reason,trace_spread_side,trace_spread_threshold,trace_spread_cleared,trace_spread_blockers,trace_spread_signals,trace_spread_conflicts,trace_total_side,trace_total_threshold,trace_total_cleared,trace_total_blockers,trace_total_signals,trace_total_conflicts,aggregate_score,sharp_spread_direction,sharp_spread_score,sharp_total_direction,sharp_total_score,statistical_score,injury_score,referee_ats_score,referee_ou_score,weather_score,data_quality_warnings,data_quality_critical_warnings
New England Patriots @ Cleveland Browns,PRE,⚠️ PASS,📊 LEAN,OK,,,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,0.0,no market cleared threshold,,none,,no market cleared threshold,NEUTRAL,4,False,no sharp spread side; sharp spread edge required,,,NEUTRAL,4,False,no sharp total side,,,5.4,NEUTRAL,0,NEUTRAL,0,3,0,0,0,0,,
San Francisco 49ers @ Las Vegas Raiders,PRE,⚠️ PASS,📊 LEAN,OK,,,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,0.0,no market cleared threshold,,none,,no market cleared threshold,NEUTRAL,4,False,no sharp spread side; sharp spread edge required,,,NEUTRAL,4,False,no sharp total side,,,5.4,NEUTRAL,0,NEUTRAL,0,3,0,0,0,0,,
Los Angeles Rams @ Los Angeles Chargers,PRE,⚠️ PASS,📊 LEAN,OK,,,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,0.0,no market cleared threshold,,none,,no market cleared threshold,NEUTRAL,4,False,no sharp spread side; sharp spread edge required,,,NEUTRAL,4,False,no sharp total side,,,5.4,NEUTRAL,0,NEUTRAL,0,3,0,0,0,0,,
Houston Texans @ Carolina Panthers,PRE,⚠️ PASS,📊 LEAN,OK,,,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,0.0,no market cleared threshold,,none,,no market cleared threshold,NEUTRAL,4,False,no sharp spread side; sharp spread edge required,,,NEUTRAL,4,False,no sharp total side,,,5.4,NEUTRAL,0,NEUTRAL,0,3,0,0,0,0,,
Seattle Seahawks @ Kansas City Chiefs,PRE,⚠️ PASS,📊 LEAN,OK,,,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,0.0,no market cleared threshold,,none,,no market cleared threshold,NEUTRAL,4,False,no sharp spread side; sharp spread edge required,,,NEUTRAL,4,False,no sharp total side,,,5.4,NEUTRAL,0,NEUTRAL,0,3,0,-2,0,0,,
New York Giants @ New York Jets,PRE,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,-1.8,NEUTRAL,0,NEUTRAL,0,-1,0,3,0,0,,
Detroit Lions @ Indianapolis Colts,PRE,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,-1.8,NEUTRAL,0,NEUTRAL,0,-1,0,3,0,0,,
Washington Commanders @ Baltimore Ravens,PRE,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,-0.4,NEUTRAL,0,NEUTRAL,0,-1,0,0,-2,0,,
Atlanta Falcons @ Miami Dolphins,PRE,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,-0.4,NEUTRAL,0,NEUTRAL,0,-1,0,-2,-2,0,,
New Orleans Saints @ Dallas Cowboys,PRE,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,-0.4,NEUTRAL,0,NEUTRAL,0,-1,0,0,2,0,,
Pittsburgh Steelers @ Buffalo Bills,PRE,❌ FADE,❌ FADE,OK,,,❌ AVOID: Multiple negative factors align,none,,,,,,,,,fade classification,,none,,signal classification was FADE,,,,,,,,,,,,,-5.4,NEUTRAL,0,NEUTRAL,0,-3,0,0,0,0,,
Tampa Bay Buccaneers @ Jacksonville Jaguars,PRE,❌ FADE,❌ FADE,OK,,,❌ AVOID: Multiple negative factors align,none,,,,,,,,,fade classification,,none,,signal classification was FADE,,,,,,,,,,,,,-5.4,NEUTRAL,0,NEUTRAL,0,-3,0,0,0,0,,
