matchup,classification,total_score,confidence,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Denver Broncos @ Kansas City Chiefs,🎯 TARGETED PLAY,10.0,10.0,-1.0,7.0,57.1,53.8,0,5.0,EDGE,0,Found 1 high-impact injuries,-2,"Double-digit spread (13.5) - blowout risk, Late season - motivation concerns",2,Statistical value on home team (+16.5 points),1,High contrarian value (fade the public),0,Neutral schedule situation (standard rest)
Houston Texans @ Los Angeles Chargers,🎯 TARGETED PLAY,7.8,7.8,13.0,13.0,46.8,48.9,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,1,Modest statistical edge (1.5 points),4,"Market inefficiency detected (+13.0% sharp edge), Potential steam move developing",0,Neutral schedule situation (standard rest)
Baltimore Ravens @ Green Bay Packers,🎯 TARGETED PLAY,7.2,7.2,-10.0,18.0,57.1,45.6,0,5.0,EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,1,Modest statistical edge (2.5 points),2,Market inefficiency detected (-10.0% sharp edge),0,Neutral schedule situation (standard rest)
Jacksonville Jaguars @ Indianapolis Colts,🎯 TARGETED PLAY,6.9,6.9,7.0,2.0,50.0,40.0,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+9.0 points),5,"Market mispricing possible (+7.0% edge), Extreme public sentiment (81% on one side), Potential steam move developing, High contrarian value (fade the public)",-1,Minor rest edge (1 days)
Tampa Bay Buccaneers @ Miami Dolphins,🎯 TARGETED PLAY,6.0,6.0,4.0,12.0,44.4,46.7,0,2.0,EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+8.5 points),1,High contrarian value (fade the public),0,Neutral schedule situation (standard rest)
New England Patriots @ New York Jets,🎯 TARGETED PLAY,5.5,5.5,-6.0,1.0,55.6,33.3,0,2.0,EDGE,0,Found 1 high-impact injuries,-2,"Double-digit spread (13.5) - blowout risk, Late season - motivation concerns",2,Statistical value on home team (+16.5 points),3,"Market mispricing possible (-6.0% edge), Extreme public sentiment (83% on one side), High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Pittsburgh Steelers @ Cleveland Browns,📊 LEAN,4.6,4.6,1.0,4.0,23.1,61.5,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+6.0 points),2,"Extreme public sentiment (81% on one side), High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Philadelphia Eagles @ Buffalo Bills,⚠️ LANDMINE,-1.6,1.6,-12.0,19.0,50.0,37.5,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,1,Modest statistical edge (1.5 points),2,Market inefficiency detected (-12.0% sharp edge),0,Neutral schedule situation (standard rest)
Los Angeles Rams @ Atlanta Falcons,⚠️ LANDMINE,-1.4,1.4,2.0,-8.0,46.7,50.0,0,-2.0,EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+11.0 points),0,Standard market dynamics,-2,AWAY rest advantage (+3 days)
New York Giants @ Las Vegas Raiders,⚠️ LANDMINE,1.2,1.2,2.0,7.0,43.2,36.8,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+4.5 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
New Orleans Saints @ Tennessee Titans,⚠️ LANDMINE,0.8,0.8,1.0,4.0,50.0,46.7,0,-1.5,NO EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+5.5 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Chicago Bears @ San Francisco 49ers,⚠️ LANDMINE,-0.8,0.8,-2.0,7.0,40.0,66.7,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,0,No stat edge,1,High contrarian value (fade the public),-1,Minor rest edge (1 days)
Seattle Seahawks @ Carolina Panthers,⚠️ LANDMINE,-0.4,0.4,4.0,19.0,28.1,47.1,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+10.5 points),0,Standard market dynamics,-2,AWAY rest advantage (+3 days)
Arizona Cardinals @ Cincinnati Bengals,❌ FADE,-4.8,4.8,-3.0,10.0,37.1,41.7,0,-5.0,EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on away team (4.0 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
